date,krx_bond_total_return_idx,krx_bond_avg_yield
2010-01-04,122.81,4.685
2010-01-05,123.11,4.596
2010-01-06,123.00,4.628
2010-01-07,123.35,4.533
2010-01-08,123.23,4.547
2010-01-11,123.48,4.465
2010-01-12,123.57,4.443
2010-01-13,123.58,4.452
2010-01-14,123.66,4.438
2010-01-15,123.59,4.465
2010-01-18,123.55,4.497
2010-01-19,123.71,4.461
2010-01-20,123.72,4.465
2010-01-21,123.72,4.471
2010-01-22,123.79,4.452
2010-01-25,123.82,4.458
2010-01-26,123.98,4.415
2010-01-27,123.94,4.429
2010-01-28,123.78,4.477
2010-01-29,123.96,4.436
2010-02-01,123.94,4.451
2010-02-02,124.05,4.416
2010-02-03,124.10,4.398
2010-02-04,124.16,4.378
2010-02-05,124.30,4.350
2010-02-08,124.26,4.376
2010-02-09,124.28,4.369
2010-02-10,124.31,4.359
2010-02-11,124.53,4.308
2010-02-12,124.67,4.261
2010-02-15,124.72,4.266
2010-02-16,124.72,4.264
2010-02-17,124.76,4.251
2010-02-18,124.80,4.251
2010-02-19,124.65,4.309
2010-02-22,124.70,4.315
2010-02-23,124.82,4.282
2010-02-24,124.97,4.247
2010-02-25,125.21,4.196
2010-02-26,125.22,4.192
2010-03-01,125.25,4.206
2010-03-02,125.31,4.191
2010-03-03,125.44,4.151
2010-03-04,125.56,4.127
2010-03-05,125.61,4.119
2010-03-08,125.64,4.124
2010-03-09,125.75,4.096
2010-03-10,125.83,4.115
2010-03-11,126.26,4.004
2010-03-12,126.45,3.962
2010-03-15,126.49,3.959
2010-03-16,126.71,3.894
2010-03-17,126.86,3.851
2010-03-18,127.04,3.808
2010-03-19,127.04,3.808
2010-03-22,127.20,3.779
2010-03-23,126.76,3.888
2010-03-24,126.52,3.930
2010-03-25,126.90,3.828
2010-03-26,126.81,3.838
2010-03-29,126.62,3.880
2010-03-30,126.63,3.878
2010-03-31,126.76,3.852
2010-04-01,126.96,3.797
2010-04-02,126.97,3.787
2010-04-05,126.91,3.818
2010-04-06,126.97,3.818
2010-04-07,127.12,3.787
2010-04-08,127.33,3.737
2010-04-09,127.23,3.766
2010-04-12,126.98,3.826
2010-04-13,127.02,3.817
2010-04-14,126.92,3.843
2010-04-15,127.01,3.821
2010-04-16,127.16,3.786
2010-04-19,127.20,3.790
2010-04-20,127.25,3.782
2010-04-21,127.15,3.806
2010-04-22,127.26,3.791
2010-04-23,127.31,3.791
2010-04-26,127.37,3.791
2010-04-27,127.57,3.746
2010-04-28,127.62,3.740
2010-04-29,127.71,3.724
2010-04-30,127.61,3.765
2010-05-03,127.43,3.841
2010-05-04,127.41,3.843
2010-05-05,127.42,3.843
2010-05-06,127.18,3.902
2010-05-07,127.35,3.859
2010-05-10,127.25,3.888
2010-05-11,127.46,3.844
2010-05-12,127.12,3.950
2010-05-13,127.07,3.969
2010-05-14,127.10,3.962
2010-05-17,127.04,3.991
2010-05-18,127.05,3.996
2010-05-19,127.06,4.004
2010-05-20,127.15,3.991
2010-05-21,127.16,3.996
2010-05-24,127.39,3.954
2010-05-25,127.48,3.936
2010-05-26,127.38,3.968
2010-05-27,127.40,3.975
2010-05-28,127.36,3.992
2010-05-31,127.46,3.985
2010-06-01,127.59,3.964
2010-06-02,127.60,3.961
2010-06-03,127.57,3.976
2010-06-04,127.51,3.995
2010-06-07,127.69,3.956
2010-06-08,127.69,3.955
2010-06-09,127.74,3.947
2010-06-10,127.67,3.972
2010-06-11,127.62,3.990
2010-06-14,127.62,4.006
2010-06-15,127.67,4.005
2010-06-16,127.72,3.997
2010-06-17,127.77,3.982
2010-06-18,127.75,3.992
2010-06-21,127.47,4.079
2010-06-22,127.47,4.096
2010-06-23,127.44,4.122
2010-06-24,127.48,4.124
2010-06-25,127.50,4.131
2010-06-28,127.50,4.158
2010-06-29,127.66,4.120
2010-06-30,127.77,4.095
2010-07-01,127.93,4.058
2010-07-02,127.94,4.054
2010-07-05,127.92,4.068
2010-07-06,127.98,4.053
2010-07-07,127.84,4.096
2010-07-08,127.75,4.131
2010-07-09,127.76,4.143
2010-07-12,127.75,4.162
2010-07-13,127.79,4.157
2010-07-14,127.78,4.170
2010-07-15,127.92,4.135
2010-07-16,127.98,4.120
